"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 08, 2021","3.1632","2.8676","3.1691","2.8160","120.23M","10.31%"
"Nov 07, 2021","2.8676","2.7683","2.8968","2.7566","59.06M","3.65%"
"Nov 06, 2021","2.7667","2.6535","2.7900","2.5628","68.47M","4.27%"
"Nov 05, 2021","2.6535","2.7650","2.9535","2.6292","132.33M","-4.03%"
"Nov 04, 2021","2.7650","2.6684","2.7650","2.4169","107.31M","3.62%"
"Nov 03, 2021","2.6684","2.7217","2.7500","2.5463","107.06M","-1.96%"
"Nov 02, 2021","2.7217","2.7033","2.7910","2.6682","76.78M","0.68%"
"Nov 01, 2021","2.7033","2.8655","2.9222","2.6697","91.75M","-5.66%"
"Oct 31, 2021","2.8655","2.6570","2.8945","2.5662","111.51M","7.85%"
"Oct 30, 2021","2.6570","2.8760","2.9753","2.6002","164.39M","-7.61%"
"Oct 29, 2021","2.8760","2.9188","3.0794","2.8506","124.91M","-1.47%"
"Oct 28, 2021","2.9188","3.0990","3.4767","2.9038","277.28M","-5.67%"
"Oct 27, 2021","3.0944","3.1380","3.2932","2.5243","352.48M","-1.39%"
"Oct 26, 2021","3.1380","3.0436","3.4706","3.0239","260.12M","3.10%"
"Oct 25, 2021","3.0436","2.7018","3.0475","2.6853","146.47M","12.65%"
"Oct 24, 2021","2.7018","2.5539","2.8279","2.5498","156.67M","5.81%"
"Oct 23, 2021","2.5534","2.6195","2.6795","2.4755","116.41M","-2.52%"
"Oct 22, 2021","2.6195","2.2227","2.6396","2.2149","183.95M","17.85%"
"Oct 21, 2021","2.2227","2.4259","2.4517","2.2051","133.32M","-8.38%"
"Oct 20, 2021","2.4259","2.3526","2.4375","2.2504","166.20M","3.18%"
"Oct 19, 2021","2.3511","2.2184","2.4836","2.2099","176.46M","5.98%"
"Oct 18, 2021","2.2184","2.3010","2.3084","2.1458","107.18M","-3.59%"
"Oct 17, 2021","2.3010","2.1400","2.3377","2.0748","211.49M","7.56%"
"Oct 16, 2021","2.1393","1.9284","2.1582","1.9136","111.61M","10.94%"
"Oct 15, 2021","1.9284","2.0263","2.0725","1.9168","116.98M","-4.83%"
"Oct 14, 2021","2.0263","2.0119","2.1606","1.9983","106.08M","0.72%"
"Oct 13, 2021","2.0119","2.0898","2.1468","1.9679","148.91M","-3.73%"
"Oct 12, 2021","2.0898","2.3379","2.3448","2.0430","196.03M","-10.61%"
